"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-06,70937,monthly,7.6,8.41,8.0,8.05,5.52,2010-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-07,76003,monthly,6.77,8.66,6.82,6.56,4.86,2010-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-08,69123,monthly,5.73,7.49,6.24,5.06,3.96,2010-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-09,64886,monthly,4.63,6.62,4.8,4.35,2.5,2010-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-10,66726,monthly,2.78,4.51,2.74,2.22,1.66,2010-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-11,63565,monthly,1.21,3.06,1.72,-0.19,0.44,2010-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-12,63541,monthly,0.37,2.92,0.21,-1.1,-0.15,2010-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-01,42399,monthly,-0.1,0.72,-0.43,-0.95,0.71,2011-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-02,44207,monthly,-0.88,0.3,-1.68,-1.77,0.25,2011-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-03,52889,monthly,-1.33,-0.02,-1.92,-1.98,-1.02,2011-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-04,57449,monthly,-1.06,-0.14,-2.04,-1.56,0.06,2011-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-05,55691,monthly,-1.98,-1.86,-2.13,-2.71,-0.7,2011-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-06,65290,monthly,-2.29,-2.02,-2.36,-3.15,-1.17,2011-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-07,70316,monthly,-2.05,-2.59,-2.55,-2.61,0.34,2011-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-08,72144,monthly,-1.99,-1.91,-2.41,-2.18,-1.11,2011-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-09,71811,monthly,-1.98,-1.94,-2.18,-2.38,-1.08,2011-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-10,65175,monthly,-1.97,-1.6,-2.11,-2.57,-1.27,2011-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-11,67798,monthly,-0.74,-1.38,-1.0,-0.99,0.94,2011-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-12,70770,monthly,-0.98,-1.32,-1.04,-1.36,0.17,2011-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-01,49493,monthly,-0.83,-1.68,-0.23,-0.75,-0.83,2012-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-02,50099,monthly,-0.58,-1.24,-0.08,-0.14,-1.22,2012-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-03,69452,monthly,0.18,-2.13,1.1,1.18,0.2,2012-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-04,50094,monthly,-0.22,-0.39,0.1,-0.53,-0.04,2012-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-05,59800,monthly,0.55,0.24,0.44,0.78,0.74,2012-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-06,68568,monthly,1.37,0.77,0.81,2.27,1.54,2012-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-07,66631,monthly,0.49,0.35,0.52,0.88,-0.05,2012-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-08,73921,monthly,0.55,-0.67,0.19,1.51,1.13,2012-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-09,60043,monthly,0.44,-0.68,0.28,1.07,1.11,2012-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-10,66842,monthly,0.84,-0.79,0.37,1.61,2.48,2012-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-11,72293,monthly,0.88,-0.16,0.67,2.22,0.39,2012-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-12,63795,monthly,1.07,0.55,0.41,1.94,1.38,2012-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-01,49129,monthly,1.09,0.24,0.88,1.43,2.13,2013-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-02,50648,monthly,1.34,0.38,0.84,1.64,3.04,2013-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-03,62193,monthly,1.65,2.59,0.91,1.18,2.36,2013-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-04,58521,monthly,1.48,0.68,1.13,2.02,2.28,2013-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-05,75384,monthly,1.69,0.83,1.41,2.11,2.64,2013-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-06,75229,monthly,1.53,1.27,1.44,1.39,2.33,2013-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-07,82886,monthly,2.28,1.35,1.93,2.48,3.81,2013-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-08,89695,monthly,2.97,2.31,2.64,2.76,4.79,2013-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-09,79217,monthly,3.41,3.09,2.77,3.17,5.23,2013-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-10,88422,monthly,3.72,3.86,3.28,3.27,4.97,2013-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-11,95708,monthly,4.21,3.52,3.79,3.7,6.67,2013-11-01
